City,Country,Date,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Saint Augustine,TT,1567558428,10.65,-61.4,79,88,20,4.7
Petropavlovsk-Kamchatskiy,RU,1567558429,53.05,158.65,59,82,40,2.24
Bethel,US,1567558431,60.79,-161.76,57.2,67,90,26.4
Puerto Baquerizo Moreno,EC,1567558432,-0.9,-89.6,71.6,88,75,10.29
Kawalu,ID,1567558433,-7.38,108.21,66.46,85,100,3.69
Bathsheba,BB,1567558346,13.22,-59.52,82.4,74,40,14.99
Antsohihy,MG,1567558436,-14.88,47.99,72.22,67,50,15.59
San Antonio,CL,1567558265,-33.58,-71.61,50,87,0,3.36
Luderitz,NA,1567558438,-26.65,15.16,53.6,87,59,4.7
malwan,,,,,,,,
Kruisfontein,ZA,1567558441,-34,24.73,50.98,92,15,8.39
Mahibadhoo,MV,1567558442,3.78,72.97,82.66,73,94,6.13
El Alto,BO,1567558444,-16.5,-68.19,44.6,60,40,11.41
Kibala,TD,1567558445,9.11,18.35,75.2,94,20,0.72
ngukurr,,,,,,,,
Ugoofaaru,MV,1567558447,5.67,73,82.3,74,100,7.56
Sao Filipe,CV,1567558449,14.9,-24.5,80.86,86,83,6.6
qandahar,,,,,,,,
Jalu,LY,1567558451,29.03,21.55,81.22,38,0,14.25
Cayenne,GF,1567558453,4.94,-52.33,80.6,83,0,4.7
Pokrovsk,RU,1567558454,61.48,129.14,52.06,88,64,7.7
Tilichiki,RU,1567558455,60.47,166.1,53.32,51,43,5.59
Guerrero Negro,MX,1567558457,27.97,-114.04,73.3,80,0,11.27
Mapimi,MX,1567558458,25.82,-103.85,89.6,29,75,12.75
Limoux,FR,1567558459,43.05,2.22,71.01,71,0,3.36
Shinpokh,PK,1567558460,34.33,71.18,84.2,78,20,4.7
tabiauea,,,,,,,,
Nizhnyaya Omka,RU,1567558463,55.43,74.94,42.52,95,92,6.96
Hanzhong,CN,1567558464,33.08,107.03,63.58,97,100,1.21
Midland,US,1567558466,32,-102.08,93.2,27,1,10.29
Honiara,SB,1567558467,-9.43,159.96,80.6,88,75,22.53
Adrar,DZ,1567558468,27.87,-0.29,91.4,29,20,11.41
Ambon,FR,1567558470,47.55,-2.56,59,87,0,6.93
Henties Bay,NA,1567558471,-22.12,14.28,53.01,93,0,1.99
Bibbiena,IT,1567558472,43.7,11.82,69.8,56,0,8.05
Itoman,JP,1567558474,26.12,127.67,87.01,74,40,14.99
Kupang,ID,1567558475,-10.16,123.6,78.8,54,20,10.29
Rincon,PA,1567558476,8.46,-82.28,78.8,78,40,4.7
Ilhabela,BR,1567558478,-23.78,-45.36,69.16,92,96,9.66
Bongaree,AU,1567558479,-27.08,153.16,86,20,0,3
Hofn,IS,1567558480,64.25,-15.21,30.28,81,14,13.04
Oriximina,BR,1567558482,-1.77,-55.87,87.16,49,9,2.71
kamenskoye,,,,,,,,
Semirom,IR,1567558484,31.41,51.57,47.56,60,0,1.16
Okato,NZ,1567558485,-39.19,173.88,55.99,92,100,15.01
Verkhoyansk,RU,1567558487,67.55,133.39,44.32,58,52,5.44
Wanning,AT,1567558488,48.64,13.53,54,93,0,1.12
Qinzhou,CN,1567558489,21.96,108.62,76.36,86,88,14.16
Sept-Iles,CA,1567558264,50.2,-66.38,44.6,93,20,2.24
Matara,BI,1567558492,-3.48,29.48,52.42,73,78,0.58
Mackay,CA,1567558493,53.65,-115.58,75.2,44,20,2.24
Merauke,ID,1567558495,-8.49,140.4,75.1,83,93,17.18
Bismil,TR,1567558496,37.85,40.66,68,32,0,4.7
Saint Anthony,US,1567558497,43.97,-111.68,89.6,16,1,11.41
Kasongo,CD,1567558499,-4.43,26.67,74.56,77,77,7.18
Imeni Poliny Osipenko,RU,1567558500,52.42,136.49,60.7,67,100,5.19
Port Hedland,AU,1567558501,-20.31,118.58,68,94,0,6.93
Fortuna,US,1567558503,40.6,-124.16,68,72,1,13.87
Lewiston,US,1567558504,44.1,-70.21,64.99,88,75,5.82
Valdosta,US,1567558088,30.83,-83.28,86,74,75,3.36
Borogontsy,RU,1567558506,62.67,131.17,45.94,84,99,8.08
Provideniya,RU,1567558508,64.42,-173.23,53.6,87,75,6.71
Changtu,CN,1567558509,42.78,124.11,71.5,75,0,4.52
Sinjar,SY,1567558511,35.59,37,67,89,0,9.89
Los Llanos de Aridane,ES,1567558512,28.66,-17.92,71.6,56,5,5.82
Stawell,AU,1567558513,-37.06,142.77,50.62,74,62,4.92
Ola,RU,1567558515,59.58,151.3,51.88,82,0,4.23
Makakilo City,US,1567558287,21.35,-158.09,89.6,55,1,10.29
Bogorodskoye,RU,1567558517,52.37,140.44,61.42,62,14,5.64
Yulara,AU,1567558518,-25.24,130.99,73.4,6,0,1.12
Canutama,BR,1567558520,-6.53,-64.38,86.08,54,91,0.89
Pizarro,CO,1567558521,4.95,-77.37,80.32,84,6,9.66
halalo,,,,,,,,
Dhidhdhoo,MV,1567558524,6.88,73.1,81.58,79,99,11.81
Hudson Bay,CA,1567558525,52.86,-102.4,61.6,67,34,5.3
Jiaocheng,CN,1567558526,24.68,116.14,74.02,91,100,3.67
Nieuw Nickerie,SR,1567558528,5.94,-56.99,82.66,77,0,10.98
Ormara,PK,1567558529,25.21,64.64,80.86,81,22,10.74
Hannan,JP,1567558530,34.32,135.23,89.01,74,75,3.36
Matagami,NG,1567558531,9.67,8.4,69.7,92,76,2.75
Jacobabad,PK,1567558533,28.29,68.44,94.18,45,35,4.45
Freeport,BS,1567558534,26.54,-78.7,83.38,74,100,41.23
Palmer,AU,1567558535,-34.85,139.16,55,87,20,11.41
Kenitra,MA,1567558537,34.26,-6.57,71.01,88,40,14.07
andenes,,,,,,,,
Yabelo,ET,1567558539,4.89,38.09,64.84,69,99,10.92
Salihorsk,BY,1567558541,52.79,27.54,53.86,81,100,9.57
Akdepe,TM,1567558542,42.05,59.39,64.4,59,0,13.87
Usinsk,RU,1567558543,66,57.56,42.88,83,60,6.69
Ornskoldsvik,SE,1567558545,63.29,18.72,50,93,100,4.7
verdalsora,,,,,,,,
Outlook,CA,1567558547,51.48,-107.04,75,43,17,1.99
Liman,RU,1567558548,45.78,47.23,57.46,47,0,4
Vysokogornyy,RU,1567558550,50.1,139.13,59.44,72,33,4.72
Kadoshkino,RU,1567558551,54.03,44.42,47.56,89,0,3.24
Morganton,US,1567558455,35.75,-81.69,82.99,83,40,1.3
Mansoa,GW,1567558554,12.07,-15.32,77.08,95,100,6.24
Cap Malheureux,MU,1567558555,-19.98,57.61,68,83,42,14.88
Bani,YE,1567558556,16.02,42.93,87.7,77,50,6.78
Kahului,US,1567558558,20.89,-156.47,89.6,45,40,16.11
Ayan,IR,1567558559,38.23,44.7,51.7,70,0,3.33
Pampierstad,ZA,1567558561,-27.78,24.69,48.1,42,0,2.42
Lorengau,PG,1567558570,-2.02,147.27,82.48,79,77,7.18
Dzhalil,RU,1567558571,55.02,52.74,44.5,97,29,7.7
Bay Roberts,CA,1567558358,47.58,-53.28,61,93,90,20.8
Presidencia Roque Saenz Pena,AR,1567558574,-26.79,-60.44,55.48,72,0,5.93
Plettenberg Bay,ZA,1567558575,-34.05,23.37,52.42,89,68,5.93
Lazaro Cardenas,MX,1567558576,28.39,-105.62,86,30,75,5.82
Caluquembe,AO,1567558578,-13.78,14.68,58.9,58,22,0.4
Harsud,IN,1567558579,21.96,76.7,74.56,93,99,8.99
Vila Franca do Campo,PT,1567558580,37.72,-25.43,71.01,77,75,13.87
jabiru,,,,,,,,
Indramayu,ID,1567558583,-4.05,103.78,69.34,78,89,2.95
Roald,NO,1567558584,62.58,6.12,51.8,71,91,8.05
saleaula,,,,,,,,
Caravelas,BR,1567558587,-17.73,-39.27,73.66,86,0,8.99
Alihe,CN,1567558589,50.57,123.73,62.86,92,61,0.96
Lasa,CY,1567558590,34.92,32.53,73.4,78,20,3.36
ambodifototra,,,,,,,,
Seoul,KR,1567558409,37.57,126.98,73.4,106,90,3.36
Portobelo,PA,1567558594,9.55,-79.65,82.4,83,40,8.05
Carballo,ES,1567558595,43.21,-8.69,66.99,82,0,2.24
Aykhal,RU,1567558596,65.95,111.51,41,93,40,5.55
Pontianak,ID,1567558598,-0.02,109.34,78.7,77,100,11.97
Kargasok,RU,1567558599,59.06,80.87,45.76,94,91,4.18
Clyde River,CA,1567558600,70.47,-68.59,41,100,90,9.17
Padang,ID,1567558602,-0.92,100.36,81.58,83,100,16.51
Devaprayag,IN,1567558603,30.15,78.62,69.34,93,96,3.29
Pingliang,CN,1567558604,35.54,106.68,56.02,87,99,3.18
solovetskiy,,,,,,,,
Petropavlovka,RU,1567558607,50.61,105.32,48.82,97,86,4.09
Qaqortoq,GL,1567558608,60.72,-46.03,46.4,87,100,5.82
Gaurnadi,BD,1567558364,22.97,90.23,80.14,93,100,7.05
Portlethen,GB,1567558611,57.05,-2.13,55.99,93,100,2.24
Malanje,AO,1567558612,-9.54,16.35,68.44,74,1,8.52
Shemgang,BT,1567558613,27.22,90.66,51.7,97,100,2.55
Minab,IR,1567558615,27.15,57.07,87.8,84,20,6.93
Shimoda,JP,1567558616,34.7,138.93,82.4,88,75,11.41
Santa Rosa,AR,1567558617,-36.62,-64.29,40.36,19,0,6.8
Hayden,US,1567558479,47.77,-116.79,90,24,1,3.36
Luganville,VU,1567558620,-15.51,167.18,78.8,57,40,8.05
karaul,,,,,,,,
Kirensk,RU,1567558622,57.78,108.12,52.6,65,1,0.6
Illapel,CL,1567558624,-31.63,-71.17,49.72,66,94,1.54
Karratha,AU,1567558625,-20.74,116.85,73.12,30,0,13.33
Marawi,PH,1567558626,8,124.29,82.99,70,100,1.99
De-Kastri,RU,1567558628,51.48,140.77,64.48,63,12,3.36
Barra do Garcas,BR,1567558518,-15.89,-52.26,79.78,25,0,1.48
Myskhako,RU,1567558630,44.66,37.76,66.2,77,0,6.71
Concarneau,FR,1567558631,47.88,-3.92,55.4,100,0,3.36
Mehamn,NO,1567558633,71.03,27.85,49.54,67,1,17.27
Bowen,AU,1567558634,-20.01,148.25,88,14,84,4.7
Grand-Santi,GF,1567558635,4.27,-54.38,78.7,73,99,1.12
Vao,EE,1567558637,59.1,26.19,49.36,93,59,6.04
Rudnogorsk,RU,1567558638,57.27,103.75,51.7,82,59,1.88
Impfondo,CD,1567558639,1.62,18.06,71.32,90,95,2.1
Moron,HT,1567558641,18.56,-74.26,83.02,71,18,2.64
Fairbanks,US,1567558427,64.84,-147.72,64.4,52,75,10.29
Taki,IN,1567558643,22.59,88.93,80.6,94,75,5.82
